工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
130006,ｷｯﾁﾝ･ﾊﾟﾝﾄﾘｰ　ﾌﾛｱﾀｲﾙ工事,,式,59000,84300,※新規追加
140001,ｷｯﾁﾝｾｯﾄ　壁付型　I-255　,標準【ｵﾘｼﾞﾅﾙ/ES/Bb/ｵﾌｪﾘｱ】　ｷｯﾁﾝﾊﾟﾈﾙ共,ｾｯﾄ,360000,514300,
140002,ミニキッチン　,LIXILﾐﾆｷｯﾁﾝ16,ｾｯﾄ,120000,171500,
140003,サイドフード,※予算組のみ,ヶ所,126000,180000,
140004,ｶｯﾌﾟﾎﾞｰﾄﾞ,予算組,ヶ所,175000,250000,※単価更新
140005,ｷｯﾁﾝ標準水栓:ﾀｶｷﾞ浄水器内蔵ﾀｯﾁﾚｽ水栓,『LC(ﾒｯｷ)』節湯A1+C1+B LC122M,ｾｯﾄ,39500,56500,
140006,UB 1620,TOTO『ｻｻﾞﾅ(S)』/LIXIL『AX』/Panasonic『ｵﾌﾛｰﾗ』,ｾｯﾄ,352000,502900,
140007,UB 1616,TOTO『ｻｻﾞﾅ(S)』/LIXIL『AX』/Panasonic『ｵﾌﾛｰﾗ』,ｾｯﾄ,260000,371500,※サイズ追加
140008,ﾀﾝｸﾚｽﾄｲﾚ　ＬＩＸＩＬ,ﾍﾞｰｼｱﾊｰﾓJﾀｲﾌﾟ J3G,ｾｯﾄ,97900,139900,
140009,ﾄｲﾚ:TOTOｼｬﾜｰﾄｲﾚ一体型,ZJ2,ｾｯﾄ,63150,90300,※新規追加
140010,ﾄｲﾚ:Panasonicﾀﾝｸﾚｽﾄｲﾚ,ｱﾗｳｰﾉ S160ｼﾘｰｽﾞ ﾎﾜｲﾄ,ヶ所,104000,148600,※新規追加
140011,造作洗面化粧台,予算組※詳細は打合せによる,ｾｯﾄ,210000,300000,※単価更新
140012,造作手洗い（ホール）,予算組※詳細は打合せによる,ｾｯﾄ,140000,200000,
140013,ﾀｵﾙ掛け,標準品,ヶ所,5000,7200,部屋(ﾄｲﾚ)数を集計
140014,ﾍﾟｰﾊﾟｰﾎﾙﾀﾞ,標準品,ヶ所,3000,4300,部屋(ﾄｲﾚ)数を集計
140015,給水栓付き洗濯ﾊﾟﾝ,ﾀﾌﾞﾁ SP1391NJ+HPY/T-50W 640×640×120,ｾｯﾄ,10100,14500,
140016,ﾋｰﾄﾎﾟﾝﾌﾟ式給湯器（Aｼﾘｰｽﾞ）,ｴｺｷｭｰﾄ角型460L 高圧型 ｺﾝｸﾘｰﾄ架台,ｾｯﾄ,417750,596800,
140017,ﾋｰﾄﾎﾟﾝﾌﾟ式給湯器（Aｼﾘｰｽﾞ）,ｴｺｷｭｰﾄ角型370L 高圧型 ｺﾝｸﾘｰﾄ架台,ｾｯﾄ,395200,564600,※容量追加
140018,ﾄｲﾚ手洗い,LIXIL　ｺﾌﾚﾙｽﾘﾑ壁付　ﾊﾝﾄﾞﾙ水栓,ヶ所,42300,60500,
150001,給排水基本工事,給排水6ヶ所以下･給湯3ヶ所以下･機器取付,式,170000,242900,
150002,給排水配管追加工事,,ヶ所,25000,35800,
150003,給湯配管追加工事,,ヶ所,10000,14300,
160001,仮設電気,,式,45000,64300,
160002,片切ｽｲｯﾁ,ﾎﾀﾙ,ヶ所,2200,3200,
160003,3路4路ｽｲｯﾁ,ﾎﾀﾙ,ヶ所,2500,3600,
160004,電灯配線,,ヶ所,2200,3200,
160005,一般ｺﾝｾﾝﾄ,2口,ヶ所,2200,3200,
160006,E付標準ｺﾝｾﾝﾄ,UB･冷蔵庫･ﾚﾝｼﾞﾌｰﾄﾞ･WC･洗濯機･その他,ヶ所,4500,6500,
160007,E付専用ｺﾝｾﾝﾄ,電子ﾚﾝｼﾞ･食洗機,ヶ所,6500,9300,
160008,E付専用ｺﾝｾﾝﾄ,IH用,ヶ所,6500,9300,
160009,自動水栓用ｺﾝｾﾝﾄ,E付100V,ヶ所,4500,6500,
160010,ｴｱｺﾝ用ｺﾝｾﾝﾄ,,ヶ所,6500,9300,
160011,TV配線,,ヶ所,8500,12200,
160012,AV配管,壁掛TV用 φ36 ※壁下地工事別途,ヶ所,8000,11500,※新規追加
160013,防水ｺﾝｾﾝﾄ,,ヶ所,5300,7600,
160014,TEL･INT用引込配管工事,φ22 ｼﾝｸﾞﾙ配管,式,5000,7200,
160015,LAN配線(ﾓｼﾞｭﾗｼﾞｬｯｸ付）,CAT6 ※配管工事別途,ヶ所,7500,10800,
160016,火災警報器(煙感知型),連動型 Panasonicけむり当番　黒/白/ﾍﾞｰｼﾞｭ,ヶ所,7000,10000,
160017,火災警報器(煙感知型),取付費,ヶ所,800,1150,
160018,ﾎｰﾑ保安灯,Panasonic WTF4088W/F/H･WT,ヶ所,7000,10000,
160019,ｴｱｺﾝｽﾘｰﾌﾞ･ﾀﾞｸﾄ周り工事,,式,35000,50000,
160020,省令準耐火対応ﾌﾟﾚｰﾄ,,式,10000,14300,
160021,ﾃﾚﾋﾞﾄﾞｱﾎﾝ,ｱｲﾎﾝ JS-12E,ｾｯﾄ,10300,14800,
